Ambito disciplinare,Numero laureati,Tasso occupazione - Uomini (%),Tasso occupazione - Donne (%),Tasso occupazione - Totale (%),Retribuzione mensile netta - Uomini (EUR),Retribuzione mensile netta - Donne (EUR),Retribuzione mensile netta - Totale (EUR)
Totale,136771,83.6,76.8,79.5,1623,1406,1497
Agrario-Forestale e Veterinario,3159,82.8,81.9,82.3,1491,1362,1425
Architettura e Ingegneria civile,6032,89.5,84.7,87.1,1562,1384,1477
Arte e Design,3424,72.5,67.3,68.7,1286,1177,1208
Economico,17322,86.8,85.0,85.9,1649,1541,1595
Educazione e Formazione,8227,80.4,80.2,80.2,1443,1330,1336
Giuridico,10207,59.6,57.0,57.9,1260,1093,1153
Informatica e Tecnologie ICT,2058,93.1,91.1,92.6,1755,1715,1746
Ingegneria industriale e dell'informazione,16472,93.2,93.9,93.4,1806,1695,1774
Letterario-Umanistico,7980,64.4,60.3,61.7,1301,1182,1224
Linguistico,7510,68.6,72.1,71.6,1311,1274,1278
Medico-Sanitario e Farmaceutico,20971,88.5,87.6,87.9,1780,1634,1688
Politico-Sociale e Comunicazione,10527,74.2,75.2,74.9,1495,1340,1389
Psicologico,7030,63.8,59.2,60.0,1223,1066,1094
Scientifico,14656,83.4,79.3,80.9,1508,1399,1443
Scienze motorie e sportive,1196,80.4,78.6,79.9,1221,1174,1210
